s_no,Title,Subtitle,q_title,q_text,q_1,q_2,q_3,pg1pr1,pg1pr2,pg1pr3,pg1pr4,pg1pr5,pg2pr1,pg2pr2,pg2pr3,pg2pr4
11,"WE, HUMANS DON'T SEE WHAT WE NEED TO SEE.   ",We ignore the weather in the room and instead talk about the weather outside.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","Straighten out your vibe antenna. Start with easy, daily, short interactions - like at the grocery store or the bank. What is the vibe of the cashier? Energizing or draining? ","Or train for the difficult. At home. See your vibe? See their vibe? How and who is it influencing? Is the vibe energizing or is it draining? What is your best choice - relax, stay or leave?  ",,"Feel that vibe when you enter a room? That energetic chemistry where two or more humans are? Most of us do. In fact, we have language for the loud vibes. The good vibes, ones that energize, we call them electrifying. The bad ones that drain us, we call them elephants in the room.  ","Most other vibes are subtle, undercurrents. With a pervasive yet elusive presence. We are unable to name or pinpoint them, and so we ignore. Them subtler vibes are the silent influencers. Orchestrating outcomes of our interactions. Whether we cooperate or compete, help or hinder, survive or thrive, lose or win, these vibes are forever influencing.  ","We have options. To ignore or face. To be in command or surrender. To let our outcomes be orchestrated. Or be the vibe expert. As imprecise as the science may be. We already have vibe antennas. They always signal us. Bad vibes. Good vibes. As vibe experts, we can pay attention and use these signals for our well-being. To discern and deal with not just the loud ones but even the subtler silent underlying ones. How? ",,,"First, acknowledge the ever-present vibe, see that it exists. Second, name how the vibe is influencing, and who. Third, classify it as overall energizing or overall draining.  ","If energizing, then relax. If draining, then make a well-being choice - stay or leave. If you stay, then know to draw boundaries. If you leave, then know to buy time to clear the air and return if necessary.  ","Most of all, tempting as it is, don't let the ease of trivia such as the weather outside make you lose focus on the operative importance of the weather inside. Follow the vibes and see how they orchestrate. You may stand to gain. ",
12,"WE, HUMANS ARE NOT SET IN STONE. WE EVOLVE. CONSTANTLY.   ",You are not who used to be! This cannot be an accusation. That is actually how we roll.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Try identifying the fear pollutants in your air. List them bravely. Be private if you need to. But be honest.  ,"Save yourself from going down the rabbit hole of 'why these pollutants?'. It doesn't matter. From those of us who have been down that path, we are happy to report that there is no good to be found in such 'why'.  ",Give yourself permission to be free of fear pollutants. Start small. But start somewhere. It never is too late.  ,"Somehow we feel unease with changes in humanness. Even though, in principle, we accept change in other areas. We accept with ease the change of seasons, change of jobs, change of clothes, change of day into night.  ","We welcome updates to all our software, on the phone, on the computer, on our video games. We upgrade to the latest with ease, our TVs, and our technologies. Without our permission, our cells are continually been renewed or replaced. Factually, we are not who we used to be.  ",Why then do we want our humanness to remain as is? Strive to keep it set in stone? Because fear pollution is in our air.  ,We breathe in constricting beliefs and breathe out our bloom. We breathe in social do's and don'ts and breathe out our nature to be free and I. We breathe in fixed mindset and breathe out our growth mindset.  ,,We breathe in certainty and breathe out our possibilities. We breathe in shame and guilt and breathe out our light. We breathe in comfort-zone and breathe out our permission and forever get set in stone.  ,"But why? When we can. Clear the air. Give ourselves permission. Choose to be comfortable saying - I'm not who I used to be. Choose to be our evolving nature, to be free and I, to grow, to flow with the possibilities, to let our light be seen. We must evolve; we are humans.  ",,
13,"WE, HUMANS PLAY PEEK-A-BOO WITH I.   ",Because self-honesty is a Ph.D. level skill.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","List all the ways you self-peekaboo. Which cues, blips, alerts, and signals do you ignore and which do you see?  ","Take a baby step. Look within. Where's the pinch? Where is the cue? Can you self-define, self-lead and self-learn? ",Try connecting more dots. Be honest. Is your inside world the same as your outside world? ,"We peek-a-boo with others. Take for example, how often we mask. Or how we stage enticing social versions. Or how we perfect appearances and presentations. Revealing, but not revealing who we are.  ",This we do because we manage the perceptions of many. It is our job to create safety and belonging for ourselves. Spotlighting our stronger side helps us thrive and survive.  ,"The problem starts when we peek-a-boo with I. Using our mind's shutters to hide and see. To ignore or pay attention. Quite harmless-looking. But did you know? That self-deception or self-peekaboo is a leading cause of our anxieties, our sleepless nights, our stuckness, and our stunted growth.  ","On the flip side, even though self-honesty is the key to self-care, it is a Ph.D. level skill. A Ph.D that is self-defined, self-led, self-learned. A do-learn-do model where right and wrong are ambiguous. Learning is slow, gains are slow. It is no wonder that many give up. Or worse, they don't start.  ",,"It is hard to pay attention, to interpret. These, hard to see. Cues from our heart, pointing out where to love and where to put up boundaries. Pain in our body, signaling us to bring well-being. Brain blips, highlighting our error codes and blind spots. Energy outages, warning us that the wiring between the brain, body, and heart isn't connected. Social mishaps, alerting that the message is undelivered because our actions didn't match our intentions.  ","But when we heed them all. The story of our inside world begins to be in seamless reality with our outside world. Fatigue fades, ease and peace return, an unnamed burden lifts. Our word begins to attract our own trust and goodwill. We level up. We Ph.D. ",,
14,"WE, HUMANS ALLOW OTHERS TO BE EXPERTS ON US.   ",There is only one expert - each their own.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Play with this idea. What if I am not an expert on them? What if they are not an expert on me?  ,"Bring more fun. In a conversation say - Ok, I am the expert on me and so this is what I want/choose/prefer.  ","Say to someone - I am not an expert on you. So I will ask, listen to and honor whatever you say as true for you.  ","No one is an expert on no one. It's not possible. We simply don't have full access to a person's inner data. So, no. Even though, we mistakenly believe. Another cannot claim to be an expert on us. We cannot claim to be the expert on another.  ","When we allow others to claim expertise on us, we seat them as voices in our heads, as our inner judges of approval and disapproval. We authorize them to define what is ideal, acceptable, and righteous. We permit them to drive our routines, our habits, our choices, our decisions.   ","When we suffer from overthinking, over-scrutinizing and over-agonizing over daily matters. When we suffer from analysis paralysis, anxiety, worry, or indecision. We have the disease of displaced expertise. The disease of allowing others to become experts on us. The disease of not being our own expert. The more we allow others in, the more deafening their voices. The more we move away from owning our expertise, the deeper our confusion.  ",,,"It does not mean that we don't learn from others. Healing means we hold ourselves accountable to tell their voice from ours. It means we put aside our other-driven selves. And become experts on us,  our likes & dislikes, needs & wants, comforts & discomforts as compared to theirs.  It means we set our own standards, pick our own choices, set our own compass, and be in the driver's seat, for our life.  ","It may feel odd initially, even difficult at times. But the expert must speak. For when we choose to be our own experts, we gift others the same choice. This way, we listen to one voice at a time. The expert's voice.  ",,
15,"WE, HUMANS HAVE BIG EMOTIONS.   ","One step on our exposed wire, and we blow up.  ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",List your top big emotion. What happens when it surges?  ,I spy big emotions. Can you spot big emotions in others?   ,Can you try treating big emotions with kindness and acceptance? Can you let them gently guide you? Would it feel good to clue into what exactly is hurting?  ,"We all have emotional episodes. A puffed-up, long-lasting reaction. To something that happened or to what someone said. A big explosion of feelings. And before we realize. Its covert grip engulfs. Our big emotions become us, and we become them.  ","Some big emotions are obvious. Fear, anger, excitability, grief. Some are more subtle. Numbness, resentment, guilt, disgust, shame. A few are deep-rooted and hard-wired, so much so they look like a part of our original and true nature. Doomspeak, blame, self-pity. Different, for different people.  ","Much-much as we want. We cannot wish the big-bigs away. But it does bring, immense clarity. A big lasting emotional reaction is a clue that. An 'exposed wire'. (An existing emotional wound). Previously damaged and with frayed protection. Has been located and triggered.  ","The less conscious we are of these clues. More 'exposed wires' we have. More big emotions we feel. The more dysregulated we are. The more dysfunctional our life is. When in surge. Big emotions run us, and we run from them.  ",,"What do we do with the clue? Like one would do with any exposed wire. Recognize its fierce power for fire and damage. Clear the area to prevent casualty. Handle wire with extreme caution and protective gear. Find a way to ground it immediately. Finally, seal it with electrical tape.  ","With an existing emotional wound. Recognize its fierce grip. How it feels and what it makes us say/do. Take time to clear. Step away, count to 10, breathe, sleep. Handle with caution. Be kind, say less. Find a way to ground. Call a friend, speak to a therapist, google the clue. Finally, seal by learning from the clue. Understand needs, boundaries, the other person, and reality. Big emotions can guide us, and we guide them.  ",,
16,"WE, HUMANS ASSUME CAUSE & EFFECT.   ","We conclude. Because of me, because of you, because of them. Almost always, in error.  ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Just notice. All around you and within. Can you point out ways we conclude - because-of-me or because-of-you? ,"If we believe that we are good humans, even though we know that sometimes we have bad humaned. What stops us from believing that about others?    ","What new understanding is possible if you accept no single cause, no single effect?  ","Early on, we learn to model the adults around us. We teach ourselves that the gold standard of adulting is to be able to reach a conclusion about another human. Likely it started off as a survival tactic in our homo sapiens journey - to determine easily and conclude quickly - friend or foe?","Yet millions of years later, as easily and quickly, we continue. Pointing fingers. Singling out a particular action or trait of the person as the cause. And then assigning horns or halos as a result. Bad human. Good human.  ","But when we hit that fancy button on our remote. Pause II And allow the dust to settle. We realize there was good in the bad human. And bad in the good human. We realize what we first saw, is not all there is. There is more. ","Nothing in our world is singularly because of what one human did. We are not gods, we are simply human. We don't have any magical way to be 'the' cause. Our worlds are way too interconnected and interdependent to single out an action, a trait, or a person as 'the' cause.  ",,"This quick & easy cause-and-effect side of our brain. It is designed to be used in survival situations. In daily life, its best use is in familiar and predictable situations. But this part of our brain malfunctions in situations that are complex, and unpredictable. Such as human interactions.  ","So next time, before you jump to conclusions. Bad human, good human someone else or yourself. Pause. Let the dust settle. Resist your brain's desire to make inaccurate attributions. Remember. No single cause, no single effect. No horns, no halos. It is all a comical, entangled, and endless web of this-led-to-that and that-led-to-this.  ",,
17,"WE, HUMANS DOUBT WHAT WE CAN TRUST.   ",We can trust our self. Can we? ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",In your mind. Allow and accept yourself to feel unsafe and uncertain in situations. Notice how that feels.  ,In your mind. Find that solid place to lean. How solid is it? Can it bear weight? Withstand force and pressure? ,In your mind. Acknowledge and appreciate your solid place for the past number of times it let you lean on it.  ,"It's no wonder we call it - plagued with self-doubt. It is a   dis-ease, common to many and so widespread. But why do we self-doubt? Why we don't trust? Even our own self?  ",Because we are told these generalized and generic statements. Trust yourself. Trust others. But with hardly any guidelines. Maybe. If we define the guidelines. Light the way. Then we would know the path to follow.                                ,"What is trust? Trust is an abstract solid place to lean on, rely on. For strength, for support. Each time. And on-demand.         ","When to trust? We are wired to seek safety and certainty. Each time either is compromised, we run towards trust to feel safe and certain again.                     ","How to trust? Step one. Allow and accept self to feel unsafe and uncertain. Step two. Let self lean, bear its weight and withstand its force and pressure. At first, you may feel like there's nothing solid to lean on within. That's ok. Over time, and after a few rounds, you will be able to find that solid place in you. Until then, just deeply desire for it to be there.   ","The act itself, of letting our unsafe and uncertain self lean, is trust. If allowed to lean, we reset our footing, we catch our breath, and we regain strength. Step three. The handshake, the namaste, the thank-you note, the see-you-next-time wave to our solid place within. Often, once we are relieved, we just walk away, without acknowledging or appreciating,  ","Incomplete iterations of these three steps, self-doubt grows. Completed iterations of these three steps, self-trust grows. Over time, trust becomes our solid place within. Where we lean on, rely on for strength and support. Each time. On-demand. Until we feel safe and certain again.  ",,
18,"WE, HUMANS SEEK APPROVAL OUTSIDE.   ","When the only authorizing authority, is within.  ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Notice. All the moments when you seem to be seeking others' approval.  ,Consider this. What if I am the only approval-sign-off authority for me? ,Ask yourself. Am I seeking their approval or am I seeking their acceptance/blessing/respect/perspective/advice/commitment/participation/something similar? ,"We often seek approval. From our loved ones  From our peers. From our leaders. As an endorsement. As a sign-off. That we are good, respectable, worthy, or capable. Deserving to be favorably regarded.  ","Firstly. No other has a complete understanding of our capabilities or our constraints. Of our full story or how it ends. So it is best. To not hand off our power of attorney, this sign-off authority, the final seal on our deal. To others. ",Secondly. Asking others for approval. For an endorsement of our goodness or badness. We put them on shaky ground. We make them endorse what they do not fully know. Act on impulse. On their back foot. From shallow foundations. ,"Thirdly. Our need for approval is interlocked with our fear of disapproval. Disapproval is significantly uncomfortable. In essence, it means 'they' 'are not with us'. Disapproval rattles our social self. Jeopardizes our human need - to belong. It is frightening to our primal brain to 'walk the path alone'. To avoid disapproval, we may unintentionally twist others' arms to ensure their approval.  ",,"Fourthly. Often when it seems we are seeking others' approval, we may be seeking their acceptance of us as we are. Or their blessing. Or their perspective. Or their advice. Or their commitment. Or their participation. Or something similar that fulfills a need we cannot meet on our own.   ","So, in the future. Instead of a broad, undefined ask for approval from our outward others. Maybe we can be more precise. Ask for what we exactly seek, knowing that it is theirs to give or not give. And save the final endorsement, the approval, to come from the definite sign-off authority. The human within.  ",,
19,"WE, HUMANS DANCE WITH TRUST.   ",The awkward dance. Unsure when to step forward and trust. When to step back and not. ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Pay attention. Do you trust yourself to trust others? ,Watch out for yourself. Do the reasons you have for trusting-others resemble evidence? Are these accurate? ,"What would it be like? To trust your trust, to stack up evidence, to know your risk before you gift your trust? ","Deciding when to trust and when to not can be difficult. For many of us, we aren't always sure we made the right call. We either anguish over our decision or just repress our qualms in the attic space of our mind.  ","We are not future-tellers. But our trust is a valued currency we hand out. Our fears, of feeling gullible or betrayed, are real and valid. Wouldn't it be awesome if 'to trust' or 'not to trust' didn't feel random? Wouldn't it be awesome if we could feel safe and certain about our decision?                            ","What does it mean to trust? It means we agree to rely on the offer on the table that promises to enrich our lives. Behind each offer, each promise is a human we agree to rely on.    ","So how do we 'know' whether the human is worthy of our trust? First, if we haven't strengthened our inner trust muscles, we are set up for failure already. We will need to go back to the drawing board within and start there.  Self-doubt, in many ways, is self-harm. ",,"Next, we collect evidence. To gauge our risk for gullibility and betrayal. Accurate evidence equals lower risk. Which brings a sense of certainty. And with it, a sense of safety.  ","Evidence from the recent past is more accurate. Evidence from sources we trusted before is more accurate. Evidence from direct experience, compared to hearsay or referrals, is more accurate. Outcomes-based evidence, not intention-based, is more accurate. Evidence of fruitful outcomes is more accurate. More number of accurate is better. For us. ","When we add it all up, a positive number suggests we step forward and trust. A negative number suggests we step back and not. We hand out our trust. At-will not on-demand. ",
20,"WE, HUMANS DO NOT TEST OUR INNER CODES.   ",It is so easy to spot non-sense in others. But hard to spot it within us? ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Date. When did you last test your inner codes? Are they relevant today? Do they still make sense? ,Date. When did you last spot non-sense in your codes? Found an error in your sense-making intelligence?  ,Date. When will you next upgrade your faulty codes? Is the next best version of you coming soon? ,"Daily. We come across many, large, different, moving pieces of information. Some of it gets stored in our brains. Some in our nervous system. Some in our muscles and bones. Some in our cells. And some of it in our hearts.  ","Our human mind writes sophisticated codes so that we can store and retrieve all information. In a sense-making format. We call these inner codes several names: beliefs, values, attitudes, viewpoints, muscle memory, dispositions, preferences, heredities. Collectively, these are the basis of our sense-making intelligence. ","Any code must. Store and retrieve data as it is designed to,  make sense. Disallow errors and malware to weaken the quality of its original intelligence, stop non-sense. ","Any coder must. Check codes to prevent gibberish, iggily biggily output, spot non-sense. Update codes to elevate the quality of the original intelligence, upgrade to more-sense. ",If we rely on inner codes. Need we test our sense-making?  ,"Yes. But. To examine inner codes, to discern what is working and what is not. A certain objectivity is required. This is difficult for us, as humanness, by nature, is subjective.  ","This is probably why it is easier to spot the non-sense in others. We can be more objective. But the question is, can we easily spot our own non-sense?  ","Yes. The secret is to accept that faulty inner code is natural, a part of being a complexly coded human. This acceptance. It frees us to be faulty. To, maybe, have faulty beliefs, values, attitudes, viewpoints, muscle memory, dispositions, preferences, heredities. To maybe test, spot, stop, update. And to upgrade to our next best sense-making version.  ",
21,"WE, HUMANS MISLABEL.  ",A part of us is not the whole of us.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Pay attention to that annoyance you feel. It may be your radar for mislabels.  ,Look for dominant repeated behaviors or life stories. Is this really the whole identity of that person?  ,Give yourself permission to add more labels when describing your identity. Even if they seem contrary.  ,We all feel it. This annoyance towards mislabels. It doesn't matter. If it's a good label or a bad label. Directed outwardly or inwardly. Something about it still feels preposterous inaccurate incomplete. Like a half-truth.   ,Mislabeling is the tendency to anchor into a dominant and repeated behavior. A specific part of the person. And tag it as the principal identity. The whole of that person. Helping person. Difficult person.  ,Mislabeling is the tendency to anchor into a dominant and repeated event. A specific part of our story. And cast it as a permanent identity. The whole story. Victim me. Leader me.  ,"Truth is. Our repeated behaviors and events are only parts of the story, not the whole. We do behave differently and experience life-changing events. Statistically, when we label. We are bound to be wrong. Bound to, mislabel.   ","Not to say. We, humans, don't exhibit dominant repeated behaviors or get looped in obvious repeated events. But to say. We can avoid rigid limiting constricting confining words to define humans, others or self.  Because these words reflect only parts of us, not our whole.  ","Our parts are our coping mechanisms. Different life situations, different coping mechanisms. When we give a specific behavior or a specific event a permanent identity, we mislabel. A difficult person could easily be a helping person. A victim could easily be a leader. It's possible.  ","The whole of each human. Includes multiple parts. Multiple labels. Often contrary to each other. Good and not-good. Repeated and not-repeated. Obvious and non-obvious. When we allow more room in our labels, it feels real. Accurate sensible complete. For it is true. Our whole is greater than the sum of all our parts. ",,
22,"WE, HUMANS CHAT INCESSANTLY, INSIDE.   ",Are these silent conversations inner voices or inner noise? ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",If you were to guess. Which is louder in your inner chatter - inner voice or inner noise? ,"Do you tend to ignore, control, or suppress some inner voices? What deflating truths do they present? ","For the next few days, maybe you could listen deeply and journal your inner voice. Do your cells speak? What truth did you hear?  ","For almost all of us, the inner voice and our never-ending chats with it is an inescapable human experience. But what is this inner voice?  ",Our inner voice is our advisory board. Our simulator for imagined scenarios. Our short-term memory holder. Our rules-making system. Our outside-world interpreter. Our life storyteller. Our needs-wants alert. Our enough-not enough measure. Our choices generator. Our next-step decider.  ,"On a day-to-day basis, the biology of this inner voice sets the course for our illness and our wellness. 8 billion people outside may not hear what it says. But 37 trillion cells inside us do. And are powerfully influenced by it.  ","With many uses and potent influence, it is vital we have a workable solution to tell apart inner voice from inner noise.  ","It is our misconception that cheerful and supportive is our inner voice. And negative and deflating is inner noise. We need both guidances. When to unleash, when to restrain.  ","Inner noise is best understood as our unchecked tendency to ignore, control, or suppress some inner voices. Creating a cacophony of muffled sounds. Eventually, it becomes an incoherent, unstopping, unuseful, loud din inside. When inner voices are not heard, it is noise.  ","Inner voice, in contrast, is our capacity to allow and follow guidance from all inner voices. Paying attention to the pinpoints of our imperfect humanness. Tuning in to the truth that we are. Differentiating between what we think we want and what we actually need. Listening deeply to the 37 trillion cells inside. And giving them a voice outside.  ",,
23,"WE, HUMANS KEEP FALLING SHORT.   ",Are the standards too high? Or are we less-than?  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Pause once or twice a day. Who is falling short - you or them? Does that make you less-than or greater-than?   ,Which is easier for you - having a high regard for others or having high self-regard? Is the other harder?   ,When was the last time you felt fulfilled? Not less-than or greater-than anyone else? Whose smarts and abilities got added to yours to make it feel like a 100?  ,"Falling short is a common human experience. We go about our days without even realizing the steady stream of disappointment flowing through us. Depending on our mindset for the day, either we are falling short for others. Or others are falling short for us. On some days, both.  ","We know. No one is a 100 of 100. We, each are smart and able in some areas. And un-smart and un-able in some. We are bound to fall short. Not meet standards. Disappoint. So does it mean we are stuck with this subtle yet considerably uncomfortable human experience?  ","No. Not if we understand the mechanics of falling short. When we fall short for others, we feel less-than. When others fall short for us, we feel greater-than.  ","High regard for others, in absence of self-regard, is what leads to a less-than mindset. High self-regard, in absence of regard for others, is what leads to a greater-than mindset.  ","Falling short, in short, stems from our either-or mindset toward high regard. Presence of one, absence of the other.      ","The counter to falling short is the experience of fulfillment. Not less-than, not greater-than. But a satisfying 100 of 100.  ","Fulfillment stems from our yes-and mindset toward high regard. Yes, we are worthy of high regard. And, they are worthy of high regard. Yes, we are smart and able. And, they are smart and able.  ","Individually our smarts and abilities will never be 100 of 100.  We will fall short. But with the presence of both, high regard for others and high self-regard, we can add up to fulfillment.   ",
24,"WE, HUMANS ARE CONDITIONAL.   ",I'll feel happy when __. I'll feel loved when__.            I'll feel accepted when __. I'll feel rested when __. ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Listen in on all the conditions you put out to others. Listen in on all the conditions you subject yourself to.  ,"Get a read on your grip. When you are conditional, how absolute are you while stating your needs and wants? ",Imagine for a moment. You are tenderly and lovingly conditional to someone. And you gift them the freedom to meet or not meet your expectations. Will you be okay? ,"We all have heard this at least once, if not hundreds of times. To love, live, give, and accept unconditionally. It is the key to happiness. Yet many of us struggle to live that way. The tug to attend to our needs and wants is real.  ","Unconditional can also be quite the slippery slope. Even the most skilled, struggle to stay on top of it. It may be fair then. To say that most of the time most of us are conditional.  ","But, conditional entails a never-ending wishing and wanting whirl. Which is not a desired state either. So what do we do? With this cannot-be-unconditional-yet and conditional-is-not-desired, conundrum that we face.  ","We can start by infusing conditional with unconditional. By stating our conditions. But loosening the grip they hold. By putting forward our terms, restrictions, and expectations. But allowing the possibility, the freedom, and the reasons for them to be overridden, not be met. By honoring our needs and wants. But also honoring sufficiency and abundance.  ",,"We can do this not just with others but also with our own selves. We can make a mental shift from forcefully expecting to gently requesting. We can move away from patterns of perpetual discontentment, our swirls of unmet requirements and unmet desires. We can move toward treating our conditions as a gift we give others, an opportunity to add fulfillment to our lives.  ","We can tenderly, and lovingly say - I'll feel happy when __. I'll feel loved when__.  I'll feel accepted when __. I'll feel rested when __. And then, let whatever will be, will be.  ",,
25,"WE, HUMANS HAVE NO SILVER BULLET.   ",Problem-solving is not an event but a walk on a zig-zagged roundabout continuum path.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",The pull for it is very real and very strong. Where do you find yourself wishing for the magical 100% solution?  ,"At times, when well-meaning advice didn't work for you. What did you do to step into your shoes, walk your own path, and solve your own problems? ",Maybe today is a good day to spot your true bullseyes. What insights did you get from your trial-and-error way of trying to solve your life's big problem?  ,"All of us can plead guilty as charged. For presupposing that there exists a magical solution for each of our problems. Only to be disappointed when it doesn't turn out to be the game-changer we had hoped it to be. For some reason, we don't learn from this letdown. We often naively continue. To seek our cure-all elixir.   ","Even when our reality is. Each life problem we face is complex. Many-sided, layered, and an ongoing work in progress. We solve one, and another presents itself. ","Plus, we each walk life in different shoes. Unique shoes = unique life problems. The solution-sounding, well-wishing advice we offer each other is while we walk in our shoes. Not theirs. Advice is likely to not fit.  ","The silver bullet, a 100% fitting answer, is an illusion. It is wishful thinking, not practical at all. To be real. We can stop presupposing that a single solution for our entire problem is possible. We can stop being surprised when 'we' cannot solve for 'them' or 'they' cannot solve for 'us'.  ",,"In real life, there is not one magical solution. Instead, there are trials and errors with near misses and almost there. Or ugh, one more that doesn't work. Or phew, this kinda sorta works. Or oh no, solved one but created another. Or oops, had not thought about that. Or ok, this is not a problem to be solved but a reality to be accepted.  ","These are our true bullseye. Their insights help us move along the winding path of life. And these are possible only when we chip away at, not big bang, our problems. And we solve with our involvement, wearing our unique shoes.  ",,
26,"WE, HUMANS AREN'T SATISFIED.   ",We don't know when enough is enough. And when can-do is not the same as must-do. ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Remember the day you were superhuman. List the demands you juggled and the happies you multitasked.   ,"Could-have, would-have, should-have live in our heads as embarrassment, disappointment, bitterness, blame, shame, guilt. Do you feel any of these?  ","Permit yourself. I am human. My opportunities may be many, but my capacity is how I make choices. Few yes + many no is how I live my life.  ","We've all had a day or days. When we felt like mythical beings with 6 hands and 3 heads. Dealing with the never-ending list that life gives us. Juggling demands. Multitasking happiness. Getting done, but not getting there. Being everything everywhere all at once, yet not enough.  ","Satisfaction, a sense of enough, is an important predictor of our health, wellness, and longevity. But how to get there? Exactly how many to-dos need to be checked off the list?  ","When we get air in our car tires, there is an audible pssst sound that signals the tire is satisfactorily inflated. Wouldn't it be awesome if we too had a pssst that signals enough? ","Pssst, the point of enough, is when we are content with all our choices. What we say yes to and what we say no to.  ","But the nature of yes and no is tricky. In every yes we say, there is a veiled no to other options. And within our every no, is a concealed yes to an alternative. This fuzzy list of yes and no is exactly why our satisfaction meter runs so low.  ","If we don't pay attention, these fuzzy yes and no transform into regrets. Could-have, would-have, should-have.  ",More regrets = less satisfaction. More regrets = more urge to be 6 hands and 3 heads = never-ending list = dissatisfaction.  ,"When we accept that opportunities (can-do) are unlimited but our capacity (must-do) is limited. When we understand that life is a short list of yeses and a lengthy list of nos. And when we pay attention to the regrets that may be forming within us. We can reach destination satisfaction. Our pssst, the point of enough.        ",
27,"WE, HUMANS ARE NOT MEANT TO US & THEM.   ","Yes, as humans, we are separate. Yet, by our humanness, we are connected. ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Being out-sided or you-peopled hurts. Who is in that seat across? Who lines you out or in?  ,"Sometimes, we out-side others, point out their faults, and claim to be righteously and betterly different from them. Who do you you-people in that seat across?   ",If you were to teach someone - how to state concerns without placing a person in the hot seat? What would you say? What would you teach them to do? ,"We've been a victim of Us & Them. We know well the subtle and deeply painful piercing in the heart. When we realized we were not invited, set apart, out-sided, you-peopled. An invisible line kept us out, in our own world.   ","We've also been the culprit. We know well the sweet breath of superiority, the snug security of being on the in-side, and the invincibility aura from being on the finer side of power. Each time we emphasized we are betterly different, than our counterparts, we drew a line. We in-sided. And out-sided.     ","Us-ing seems innocent. In fact, we say it is natural, normal, and often healthy to belong to a tribe of me-people. The concern is that me-peopling births you-peopling, Them-ing. Me-peopling may quench one's deep thirst to belong. But. You-peopling threatens another's right to belong.  ","When we me-people, we silo and limit possibilities. When we you-people, we are hurtful or hurted. When we us-them, we compete for our best interests. When we inside-outside, we divide resources. All pain, no real gains.  ",,"The question then is, how to gain? How to same-side with obvious differences? How to find common ground in conflict? How to belong and create belonging in a natural, normal, and healthy way?  ","Ask clearly. If only one-side is open to same-side. We seat our concerns on the table, and empty the chair with humanness. If both-sides are open to same-side. We each state concerns, without placing the person in the hot seat across. When we empty that chair of specific humans, we invite humanness to get seated. It is then easier. To land on common ground. To belong and create belonging.    ",,
